	run	n_reads	b_ed	m_ed	change_ed	n_better	p_better	n_same	p_same	n_worse	p_worse
0	decode-9	1358	0.2385686527750651	0.24381957883902	2.2010125818607693	299	22.017673048600884	152	11.192930780559648	907	66.78939617083947
1	decode-11	1358	0.2385686527750651	0.26514682721211974	11.140681781907842	59	4.344624447717231	33	2.4300441826215025	1266	93.22533136966126
2	decode-13	1358	0.2385686527750651	0.23860863537875585	0.016759370196241033	192	14.138438880706921	958	70.54491899852725	208	15.316642120765833
3	decode-15	1358	0.2385686527750651	0.2385847874337137	0.006763109260553796	286	21.06038291605302	804	59.20471281296024	268	19.734904270986746
4	decode-17	1358	0.2385686527750651	0.23861229429089667	0.018293063788531475	157	11.561119293078056	1034	76.14138438880707	167	12.297496318114874
5	decode-19	1358	0.2385686527750651	0.2386278485306037	0.024812880841653832	237	17.452135493372605	861	63.4020618556701	260	19.145802650957293
