	run	n_reads	b_ed	m_ed	change_ed	n_better	p_better	n_same	p_same	n_worse	p_worse
0	decode-22	1358	0.23676384214108104	0.26087206003364055	10.182390045095692	89	6.5537555228276885	39	2.8718703976435935	1230	90.57437407952872
1	decode-24	1358	0.23676384214108104	0.23802228552427743	0.5315183990157237	466	34.31516936671576	235	17.304860088365242	657	48.379970544919
2	decode-26	1358	0.23676384214108104	0.23695653018171906	0.08138406561387007	295	21.723122238586157	715	52.65095729013255	348	25.625920471281294
3	decode-28	1358	0.23676384214108104	0.23679471631204121	0.013040070088818582	220	16.200294550810014	892	65.68483063328424	246	18.114874815905743
4	decode-30	1358	0.23676384214108104	0.23678094732408747	0.007224575700304913	107	7.879234167893961	1138	83.79970544918999	113	8.321060382916052
5	decode-32	1358	0.23676384214108104	0.2367587730174651	-0.002141004120437738	17	1.251840942562592	1324	97.49631811487481	17	1.251840942562592
6	decode-34	1358	0.23676384214108104	0.23678268946918224	0.007960391219690874	5	0.3681885125184094	1339	98.60088365243004	14	1.0309278350515463
7	decode-36	1358	0.23676384214108104	0.23676295352126622	-0.0003753190549617471	1	0.07363770250368189	1356	99.85272459499264	1	0.07363770250368189
8	decode-38	1358	0.23676384214108104	0.23676384214108104	0.0	0	0.0	1358	100.0	0	0.0
9	decode-40	550	0.234197361451142	0.297526960935614	27.04112424327365	39	7.090909090909091	23	4.181818181818182	488	88.72727272727273
10	decode-42	803	0.2401257227839252	0.24108970974356328	0.4014509351443059	295	36.73723536737236	136	16.936488169364882	372	46.326276463262765
11	decode-44	945	0.2385241603956455	0.23844863279834191	-0.03166454801824185	223	23.597883597883598	500	52.910052910052904	222	23.49206349206349
12	decode-46	983	0.23779681101360242	0.23773024099004605	-0.02799449802233015	64	6.510681586978636	858	87.28382502543235	61	6.205493387589013
13	decode-48	974	0.23726464247894377	0.23728897505006236	0.010255456044507054	19	1.9507186858316223	931	95.58521560574948	24	2.4640657084188913
14	decode-50	994	0.2376628348551429	0.23766487500926983	0.0008584237111307822	3	0.30181086519114686	985	99.09456740442656	6	0.6036217303822937
15	decode-52	1014	0.23697947881582443	0.23695660145610897	-0.009653730284906297	9	0.8875739644970414	998	98.42209072978304	7	0.6903353057199211
16	decode-54	974	0.23726464247894377	0.23724394699026943	-0.008722533816295395	4	0.41067761806981523	968	99.38398357289527	2	0.20533880903490762
17	decode-56	1025	0.23682970778311938	0.23682815952273337	-0.0006537441609421145	1	0.0975609756097561	1023	99.8048780487805	1	0.0975609756097561
