read	gt_length	aln_length	n_alignments	n_mat	n_sub	n_ins	n_del	n_hdel	n_ctsub	n_cgsub	n_casub	n_gasub	n_gtsub	n_atsub
0108e5e7-e37c-4e91-b506-780888815699	129	135	1000	104	8	6	17	6	0	0	2	3	0	3
010c92f5-cc0f-4ecf-bdd9-3cc0a91196ee	173	193	1000	145	11	20	17	4	2	2	2	3	0	2
0113c395-c963-40e8-9e81-290299595387	513	533	1000	378	47	20	88	11	22	2	4	11	2	6
011941b7-32f8-487b-a646-ecdd4492fa63	374	381	1000	343	3	7	28	6	2	0	0	1	0	0
0123bd7a-a19f-4b75-88cf-6214eab7a4e5	381	396	1000	277	39	15	65	13	12	3	3	11	3	7
01294e67-dcb5-4c9c-b148-28765565ddb2	110	117	960	93	9	7	8	0	4	0	0	2	0	3
012fefae-3080-4f27-9163-f6d962bb2c8c	228	243	1000	184	18	15	26	6	10	0	2	5	0	1
0131da61-6832-4f3c-be22-e24571eccc50	211	213	1000	195	3	2	13	7	0	0	1	0	1	1
01387b25-b973-4bfe-8372-3248d273abcc	352	380	1000	323	13	28	16	4	6	1	0	3	0	3
013c8d1c-8ec3-41af-b26e-1e81b270ed51	328	349	1000	293	10	21	25	8	2	0	3	1	0	4
014037a7-1253-4cae-b661-eaea8d73d2a9	305	320	1000	287	3	15	15	8	3	0	0	0	0	0
0142fd3f-d410-4453-b178-7f154d91f662	282	283	1000	250	6	1	26	4	1	0	2	2	0	1
0147eb8f-135a-4dbb-ade9-7a2fa6f901cd	239	245	1000	206	11	6	22	8	6	0	2	1	0	2
014eb11b-ae03-4a2b-975b-9aaa8d5af3b8	351	363	1000	323	9	12	19	7	4	0	1	1	2	1
0151ac7d-e56e-49e6-bc3f-2a4761173fa0	258	270	1000	227	8	12	23	4	0	0	5	1	1	1
01570fb9-1cfa-4e86-a150-dfa36693dc83	291	306	1000	203	24	15	64	14	5	1	2	8	3	5
015ecd8a-9f54-4f86-b030-16f7c35883b0	276	282	1000	259	3	6	14	4	0	1	0	2	0	0
0164eab0-6f2f-4106-9413-f4c4474c596d	769	811	1000	620	41	42	108	14	14	4	7	2	6	8
016910e9-905d-4b04-b96c-0c2b397baf8e	405	424	1000	293	39	19	73	12	16	1	5	9	1	7
016e5422-9498-4158-86cb-42cc218345a0	226	232	1000	212	0	6	14	4	0	0	0	0	0	0
01748520-985d-49a6-8aa4-2fdac36ccbf4	462	486	1000	355	32	24	75	12	11	1	2	4	2	12
0178f830-26d6-423f-bb3a-0c7a37fcca09	770	815	1000	617	51	45	102	16	18	4	9	7	1	12
017d718a-6c6a-41e1-8f3e-dc620a0a633c	313	322	1000	288	5	9	20	2	3	0	1	0	0	1
0181751d-aa3c-4be9-9fad-f352ed5094b4	534	556	1000	368	57	22	109	11	20	3	9	11	1	13
0188e2a9-3fb2-48ee-abbd-3201740f5391	526	553	1000	401	48	27	77	19	26	1	1	11	2	7
018f0fcf-3630-4d48-93c9-8d0990ce2730	454	474	1000	428	9	20	17	2	1	1	3	3	0	1
01911cf8-bc7f-49ed-aed2-2330008c7c1e	244	248	1000	225	4	4	15	6	1	0	0	1	1	1
0195120f-7ff0-471b-87c9-5a0a95040230	619	648	1000	476	53	29	90	20	26	0	3	15	5	4
019ab1b7-2c46-440c-8f5d-9002ba113425	385	403	1000	353	10	18	22	5	4	1	2	2	1	0
01a3121c-b7bb-440a-b51e-beb3176abbc4	215	227	1000	150	21	12	44	11	12	0	2	1	4	2
01a3742a-6d0f-4cbf-9372-db1a2b49dbbe	284	304	1000	197	19	20	68	4	6	0	1	1	1	10
01a6a71c-0930-4d23-bc78-0d3927041770	616	639	1000	485	37	23	94	22	16	1	6	10	1	3
01aba8ad-6fb9-43e7-bf2b-cfde6c475a41	257	268	1000	190	14	11	53	10	6	0	2	3	0	3
01af0881-a30e-40d0-876d-200bf3f0b70e	265	301	1000	204	17	36	44	18	6	1	2	3	2	3
01b22d05-feb5-4402-a0af-6eb4591e81d2	813	843	1000	607	76	30	130	26	34	1	8	23	3	7
01b401a0-8af3-4829-aaf7-17c8ab156a72	415	423	1000	391	3	8	21	9	2	0	1	0	0	0
01b95a2a-67ca-4549-b96a-f813ae8133e4	244	253	1000	161	26	9	57	25	11	0	3	1	6	5
01bd48f1-b5d9-4e38-87c8-faf62b8a934a	361	376	1000	306	17	15	38	11	9	1	3	2	0	2
01c253bc-886a-4f77-b1e8-1e0d0a33aee4	363	375	1000	345	1	12	17	5	0	0	0	0	0	1
01c4fab5-cdd4-4241-b83d-84415a28deda	222	234	1000	187	11	12	24	6	4	0	2	3	0	2
01c8ffc6-34dc-4e5e-98ed-d7f946712cfb	439	464	1000	337	39	25	63	15	20	0	4	5	2	8
01cd0706-8cea-4f65-919b-93172eec3b27	274	304	1000	189	28	30	57	9	10	0	9	6	2	1
01cf17d8-9816-4edb-9eaa-b57b435e6253	502	534	1000	366	52	32	84	19	24	2	5	7	4	10
01d332cd-2482-4fd5-8ad5-7a2f112c4443	304	329	1000	196	33	25	75	16	9	3	8	5	3	5
01d4c165-3b53-4c55-964d-36ab7e7b6b1d	665	694	1000	494	67	29	104	15	23	6	3	19	6	10
01db0a18-2b0f-49b1-b536-7729cde337f1	316	324	1000	297	4	8	15	3	2	0	1	0	1	0
01e25297-8420-4f14-9fc1-1587c4394dba	210	218	1000	150	13	8	47	7	6	1	3	2	0	1
01e6829b-9d34-41b3-888a-97f1e85c0e9f	288	289	1000	259	7	1	22	3	1	0	1	2	1	2
01ea678c-c69a-48d7-a4c1-5e8cc20c5694	330	343	1000	307	8	13	15	2	4	0	0	3	0	1
01ed1391-b000-44d1-89f7-b4df72991828	157	168	1000	125	12	11	20	8	4	1	0	2	3	2
01f29db3-4e83-44a2-837a-8d5825ca9b6f	640	673	1000	491	50	33	99	15	17	5	6	10	5	7
01f5aa4b-29bf-47ca-b25f-13dc2a2b6e61	475	511	1000	372	28	36	75	12	8	3	3	9	2	3
c968c705-a4fa-4601-977d-1fe139229a9b	694	726	1000	512	66	32	116	19	23	4	11	16	5	7
c970b443-bef0-40fc-bf6f-17358afde299	170	186	1000	105	19	16	46	3	6	0	4	3	5	1
c977486b-c083-4aee-8d3a-e29d1d2cf059	813	848	1000	596	75	35	142	26	29	7	6	15	5	13
c97c1c5e-a37a-4265-984c-0f63d6baf6b9	664	695	1000	508	44	31	112	33	19	3	3	5	1	13
c97fa7e0-be59-4bb6-a677-c759c245b404	329	339	1000	263	11	10	55	14	5	1	0	1	0	4
c98b55f7-3b8c-4296-b0ef-7622a561d4a7	309	319	1000	285	5	10	19	4	2	0	0	1	2	0
c98e55b8-5543-442e-94bb-27f6295205d4	381	398	1000	272	23	17	86	23	10	1	1	6	0	5
c993f12e-a946-4990-8fc9-4a50355cda67	330	338	1000	316	2	8	12	2	0	0	0	1	0	1
c99ae28b-9c1c-4a73-a9c3-2296d010b30a	709	738	1000	624	19	29	66	16	6	0	2	4	3	4
c99da37a-7504-42ea-99ab-4357be719577	633	657	1000	533	28	24	72	19	11	0	7	4	0	6
c9a22a90-eec2-4add-a2ec-20fed273680e	451	475	1000	406	14	24	31	4	1	1	3	4	3	2
c9a69f2d-1845-4ec2-8f42-4b0ada5518b6	189	191	1000	174	4	2	11	5	1	0	1	0	0	2
c9ab91cd-4f5c-4ace-98c3-a9be54a1390f	587	619	1000	437	44	32	106	31	16	4	5	8	4	7
c9ad8f7f-4932-4951-a05a-0a6c56794b7c	456	476	1000	365	25	20	66	8	7	1	5	3	1	8
c9b3b65a-ba0e-4c0d-b5e2-cbd24b2a6c9d	637	674	1000	454	69	37	114	28	31	1	10	10	5	12
c9b7666d-52ab-43d3-bb39-3b8fd170d11f	253	269	1000	182	18	16	53	8	6	4	2	0	1	5
c9bdde1b-b2a0-4822-bd85-62bbd40953fb	231	237	1000	191	13	6	27	7	5	2	2	1	0	3
c9bf187b-6682-4c2c-b077-942dd84c9cf4	643	676	1000	469	48	33	126	41	26	1	2	7	4	8
c9c15b8e-990e-40aa-8a3b-6c967327770b	334	348	1000	246	29	14	59	17	12	2	3	4	1	7
c9c44f38-c9bf-4322-874a-49b232a42c58	364	377	1000	340	5	13	19	4	2	0	1	1	0	1
c9c8d87d-91fb-43dd-8129-16dbeacc4199	583	602	1000	498	29	19	56	13	10	1	4	6	0	8
c9caf0bd-faf4-4344-99cb-9ae4e00bc191	550	571	1000	407	46	21	97	8	16	0	6	8	2	14
c9cef4f3-e097-42fd-b769-fbe098b82650	231	233	1000	213	5	2	13	1	2	1	1	0	1	0
c9d5e8dd-9b20-43a9-9789-b0a1172cba7c	609	630	1000	543	19	21	47	10	8	1	3	2	1	4
c9dbe0e0-0180-4bf6-9591-242ace8d24a6	286	297	1000	272	6	11	8	1	4	0	0	0	0	2
c9e4a483-0d28-47ed-b067-7c55a613ca56	618	650	1000	466	55	32	97	13	22	3	5	15	2	8
c9e8d3e0-bcf8-41a0-a5a9-0e6fcd06a4ba	529	546	1000	383	46	17	100	21	16	0	6	10	2	12
c9ed9ace-c650-41c8-81d2-e768b5362657	305	321	1000	223	21	16	61	25	10	0	0	2	3	6
c9f55ac3-452e-4de8-9524-73f141a4ff12	403	419	1000	330	25	16	48	10	10	1	2	2	0	10
c9fd1aeb-5a6d-4821-b184-73b0bcb87ebf	756	780	1000	549	65	24	142	16	28	1	8	7	5	16
ca0628cf-0232-4cd3-a145-ac39daad95cb	121	125	1000	84	10	4	27	8	6	0	2	1	0	1
ca0d2784-8f4d-43d3-ae47-3c9bbd068851	448	474	1000	309	47	26	92	27	16	4	7	10	3	7
ca0f5905-1c08-4673-980c-008f4b06d5ad	278	289	1000	198	23	11	57	9	11	1	3	1	1	6
ca122a80-3311-4a6d-9d25-3877d2abaaa7	188	190	18	178	3	2	7	2	0	0	1	0	0	2
ca1721f3-5de0-4df2-8042-d4ffa039bddf	334	347	1000	309	13	13	12	3	4	0	0	8	1	0
ca19836e-3caa-49a3-98b6-2abf5765e9da	316	330	1000	246	11	14	59	20	5	1	0	1	2	2
ca1c7b12-cbb9-44cc-9c50-5044944c20b0	493	515	1000	367	27	22	99	21	7	1	6	5	2	6
ca250636-9874-4c7a-8315-f6264127ceaa	431	448	1000	316	38	17	77	25	13	0	4	11	2	8
ca2880f6-d9b4-4927-9a21-358eff92de82	337	352	1000	327	1	15	9	1	0	0	0	1	0	0
ca2c64ca-6dc1-437e-9205-c347f3fb4f48	210	214	1000	182	10	4	18	8	4	0	1	2	1	2
ca2f84af-922f-43b5-9698-f18321b426a5	732	763	1000	539	62	31	131	30	25	4	3	16	5	9
ca3527f5-9501-4092-97d2-e946c1999089	334	355	1000	304	6	21	24	1	3	0	0	0	0	3
ca3b8cde-aa59-44f8-8aa1-b9b5fee70eb0	251	260	1000	196	10	9	45	8	2	0	2	4	0	2
ca3f919d-bd7b-48d8-a668-d5391e135324	441	470	1000	304	63	29	74	24	27	3	9	12	3	9
ca457dc1-1880-4199-b703-944855181a1f	602	620	1000	443	59	18	100	22	23	0	6	12	4	14
