read	gt_length	aln_length	n_alignments	n_mat	n_sub	n_ins	n_del	n_hdel	n_ctsub	n_cgsub	n_casub	n_gasub	n_gtsub	n_atsub
736b3d1d-00a5-475e-a602-43aaa3292069	365	377	1000	260	28	12	77	12	12	1	2	6	1	6
736c494e-09a1-4c5d-9c8f-0ea34682e9b5	395	409	1000	298	37	14	60	10	12	1	5	14	1	4
736c8731-d662-4d42-9394-96d2dcb9d5e2	347	365	1000	260	23	18	64	10	10	0	3	3	1	6
7376b2d2-da9f-4b7d-b193-191ee0bddebb	470	498	1000	356	39	28	75	13	16	0	5	7	3	8
7378305e-363c-45ac-82a8-f425a224be47	302	316	1000	213	23	14	66	23	8	1	2	2	5	5
738ea5fe-d67f-47f6-afbb-e4f6d57baf23	526	542	1000	375	53	16	98	12	22	2	6	15	4	4
73a31fd3-6859-451e-9595-ef4f68f95dd7	427	442	1000	303	49	15	75	15	19	2	8	9	4	7
73a4b468-94c0-40d1-ab87-0d8d85b48a41	456	487	1000	326	39	31	91	17	16	5	6	7	3	2
73a55d1b-7746-4bf6-8c85-5c21ddaf6148	424	455	1000	300	47	31	77	16	22	4	3	12	2	4
73a70594-390e-4241-8114-2c5bcf63775c	567	597	1000	418	51	30	98	23	22	4	4	11	5	5
73a8e866-d88a-4263-9ca4-222209e3fa29	313	324	1000	219	33	11	61	9	9	2	9	7	2	4
73a9df71-43ac-42c8-847c-089ba9464d17	629	653	1000	452	57	24	120	18	28	6	4	9	1	9
73acaa54-abf7-4266-accf-a0cf5fa4ab81	236	254	1000	138	31	18	67	19	10	2	8	7	2	2
73b5140b-4ecf-4135-b2f0-fd3954d2f2ea	704	733	1000	517	59	29	128	22	27	2	7	13	4	6
73bd6e86-6c27-4bdc-9f32-aa32f2e3b13e	430	466	1000	324	38	36	68	26	17	2	3	7	5	4
73bdc0f3-6259-44e7-a512-f5f0ce1df42a	737	769	1000	490	80	32	167	32	28	4	9	21	6	12
73d97119-3d48-4400-b734-7362e40bb366	467	478	1000	322	36	11	109	20	11	2	7	6	3	7
73f96d74-3fe8-426f-bc1e-7fef62539ef4	814	838	1000	507	93	24	214	51	36	10	8	15	6	18
73ff644c-9952-4c9f-be54-c029d7ab02c4	729	845	1000	544	41	116	144	47	11	4	5	6	7	8
73ff65bd-b4ee-4201-9c19-91be951c1c0a	324	343	1000	234	25	19	65	18	7	1	4	6	2	5
740373de-1235-45bc-9a86-d8052318d78d	735	771	1000	531	63	36	141	20	20	4	5	17	4	13
7404fdfd-c497-4fb4-a004-1d7ec2627b82	475	497	1000	335	46	22	94	20	16	3	3	8	7	9
7424d654-7f1b-44b1-bc64-409590f71fec	1177	1213	1000	861	92	36	224	73	43	3	13	13	3	17
7424fb67-7642-4657-b928-3342f135d68f	534	560	1000	385	40	26	109	24	15	2	1	9	0	13
743c9b74-e3ef-4396-8a7b-7ca8c6afa972	682	716	1000	500	55	34	127	24	24	6	8	11	1	5
