read	gt_length	aln_length	n_alignments	n_mat	n_sub	n_ins	n_del	n_hdel	n_ctsub	n_cgsub	n_casub	n_gasub	n_gtsub	n_atsub
736b3d1d-00a5-475e-a602-43aaa3292069	365	395	1000	348	6	30	11	2	2	0	0	1	1	2
736c494e-09a1-4c5d-9c8f-0ea34682e9b5	395	408	1000	371	6	13	18	7	2	0	0	2	0	2
736c8731-d662-4d42-9394-96d2dcb9d5e2	347	373	1000	327	8	26	12	4	3	0	1	1	0	3
7376b2d2-da9f-4b7d-b193-191ee0bddebb	470	495	1000	451	6	25	13	9	0	0	0	2	0	4
7378305e-363c-45ac-82a8-f425a224be47	302	333	1000	273	11	31	18	6	4	0	1	3	0	3
738ea5fe-d67f-47f6-afbb-e4f6d57baf23	526	543	1000	501	5	17	20	5	1	0	1	0	1	2
73a31fd3-6859-451e-9595-ef4f68f95dd7	427	453	1000	404	5	26	18	5	1	0	0	2	2	0
73a4b468-94c0-40d1-ab87-0d8d85b48a41	456	489	1000	425	13	33	18	8	2	0	0	5	2	4
73a55d1b-7746-4bf6-8c85-5c21ddaf6148	424	440	1000	382	18	16	24	13	9	0	0	4	1	4
73a70594-390e-4241-8114-2c5bcf63775c	567	594	1000	536	17	27	14	6	6	0	1	6	0	4
73a8e866-d88a-4263-9ca4-222209e3fa29	313	326	1000	304	1	13	8	6	1	0	0	0	0	0
73a9df71-43ac-42c8-847c-089ba9464d17	629	884	1000	596	9	255	24	8	4	0	0	4	1	0
73acaa54-abf7-4266-accf-a0cf5fa4ab81	236	246	1000	206	7	10	23	6	3	0	0	2	0	2
73b5140b-4ecf-4135-b2f0-fd3954d2f2ea	704	817	1000	679	10	113	15	6	3	0	0	4	1	2
73bd6e86-6c27-4bdc-9f32-aa32f2e3b13e	430	500	1000	406	8	70	16	3	5	2	1	0	0	0
73bdc0f3-6259-44e7-a512-f5f0ce1df42a	737	790	1000	679	19	53	39	13	7	1	2	2	1	6
73d97119-3d48-4400-b734-7362e40bb366	467	482	1000	414	15	15	38	8	3	0	3	2	1	6
73f96d74-3fe8-426f-bc1e-7fef62539ef4	814	837	1000	764	18	23	32	11	4	0	2	7	1	4
73ff644c-9952-4c9f-be54-c029d7ab02c4	729	854	1000	688	12	125	29	14	5	1	0	1	0	5
73ff65bd-b4ee-4201-9c19-91be951c1c0a	324	356	1000	299	6	32	19	6	1	0	0	1	1	3
740373de-1235-45bc-9a86-d8052318d78d	735	765	1000	700	12	30	23	5	5	0	1	1	0	5
7404fdfd-c497-4fb4-a004-1d7ec2627b82	475	499	1000	429	21	24	25	6	12	2	0	4	0	3
7424d654-7f1b-44b1-bc64-409590f71fec	1177	1234	1000	1121	19	57	37	21	11	1	1	2	0	4
7424fb67-7642-4657-b928-3342f135d68f	534	701	1000	496	12	167	26	4	3	0	4	2	1	2
743c9b74-e3ef-4396-8a7b-7ca8c6afa972	682	717	1000	641	13	35	28	5	6	0	1	2	1	3
743d1ac5-7e21-47f0-ac3d-54a0d0030e53	295	317	1000	254	14	22	27	9	3	0	2	7	0	2
744677f8-fab3-460a-90cb-d1f2921a3724	456	558	1000	426	15	102	15	5	4	0	0	3	2	6
74487649-65bf-40ba-aeff-a84e232fde5a	554	571	1000	522	11	17	21	12	7	0	1	1	0	2
7448af9c-62ab-4cdb-961f-d938566dd28b	224	685	1000	209	6	461	9	7	3	0	0	1	0	2
7476778b-72a2-47b0-afea-21fdc6f344b3	478	509	1000	457	5	31	16	3	2	0	0	1	0	2
7484dbf7-0008-4848-9c84-15139a37e7d0	669	758	1000	640	7	89	22	6	2	0	1	3	0	1
