read	gt_length	aln_length	n_alignments	n_mat	n_sub	n_ins	n_del	n_hdel	n_ctsub	n_cgsub	n_casub	n_gasub	n_gtsub	n_atsub
00482384-9eaa-41c3-848d-99b5cde0f675	266	286	1000	259	3	20	4	2	1	0	0	2	0	0
00483137-1705-41b6-9ca0-0a27e31cd928	426	446	1000	411	7	20	8	1	2	0	1	1	1	2
00485d27-f50c-4f7f-8947-c8f80ac56a7b	907	934	1000	879	9	27	19	2	0	0	1	4	0	4
004b1c3f-ba24-4c00-99ec-fff313e0298c	604	625	1000	577	13	21	14	3	5	0	2	1	1	4
004c77d4-e593-4374-8474-05d23f18e59c	287	308	1000	270	10	21	7	2	2	1	2	2	0	3
004c7d6a-9f39-48fa-a37b-60744e42a8c9	503	592	1000	475	5	89	23	9	2	1	0	0	0	2
004d30a2-853d-4921-a014-6b55dd105967	285	373	1000	267	8	88	10	4	5	0	0	2	0	1
004f162e-8a49-4cbf-a77e-fc27c3f04e23	450	460	1000	400	19	10	31	10	8	0	1	4	1	5
004f5328-7bc2-449f-997a-90585c510977	324	408	1000	311	3	84	10	2	3	0	0	0	0	0
004f5e25-e9a7-445b-ad36-4e4c6a249c30	367	477	30	357	1	110	9	0	1	0	0	0	0	0
0052cdda-7161-474b-b12c-df02da578f2a	60	256	2	59	0	196	1	0	0	0	0	0	0	0
00541581-f0ab-4756-9681-4723fb81e481	282	364	1000	260	6	82	16	7	3	0	0	0	1	2
00578a06-27fe-4593-a890-516dff28c8bf	205	221	96	198	4	16	3	1	1	1	0	2	0	0
005b5033-52fb-46cf-8fd7-24a3d9c8598d	418	432	1000	395	6	14	17	5	0	0	3	1	0	2
005b5848-debb-4861-a0c5-4404149cf188	260	266	1000	250	2	6	8	8	0	1	0	1	0	0
005c45ab-b1c1-4f52-88f3-4c921fec29e8	343	363	1000	325	7	20	11	4	3	1	0	0	1	2
005c8ecb-eb9c-49c9-b6a6-f1c5d32d690e	546	562	1000	515	10	16	21	8	1	0	4	2	1	2
005cd421-0690-4e3c-893f-5e3a70d4785e	564	589	1000	534	11	25	19	4	4	2	1	2	1	1
005ce1d8-2527-48bd-806c-9051ddd62965	451	579	1000	397	21	128	33	8	7	0	1	6	2	5
006145e3-27b5-4f82-aeb3-1ddd3dcf6432	382	393	1000	349	9	11	24	4	3	0	1	2	0	3
0061c34b-806c-4795-92e4-a0deacfe8e1f	533	625	1000	486	12	92	35	9	6	1	0	2	0	3
0062ed5d-c217-4ecc-b1c3-4e83273185d9	239	259	1000	226	4	20	9	3	1	0	0	1	1	1
006419b9-af13-4526-b65c-c79d6a84abd3	551	607	1000	534	7	56	10	7	3	0	0	3	0	1
0065f710-374e-400a-93d6-75d00aa38d68	641	665	1000	615	7	24	19	1	5	0	0	2	0	0
0069191f-89e7-4f77-8fe3-87465d13f860	333	349	1000	321	7	16	5	3	5	0	0	0	1	1
006a9885-895f-4d18-9976-d0b6a5c8b94d	383	498	1000	354	7	115	22	10	3	0	1	1	1	1
006c533c-0bbc-418d-a3d5-0c1b163188cf	496	581	1000	482	8	85	6	2	0	1	0	3	2	2
006ef79d-2de4-44bb-ba0a-7204b8b7b832	308	325	1000	297	5	17	6	3	4	0	0	0	0	1
0071f553-23d5-470b-b333-709d1ca599ad	360	387	1000	327	15	27	18	6	6	1	3	1	0	4
00734224-afb3-4fa1-b0af-7d204454ca3c	455	548	1000	434	5	93	16	6	2	0	0	2	0	1
007653f2-0409-46e0-98d4-cf2c5a157baf	672	734	1000	625	13	62	34	14	3	0	2	5	0	3
00776f78-2db1-4b36-9d5e-d1f4181f64e2	326	410	360	317	1	84	8	4	1	0	0	0	0	0
0078e02e-c0b2-4a4c-b0b7-14644a2e0148	276	304	1000	244	5	28	27	6	0	0	2	1	0	2
007928f5-7d92-4dc5-b41f-94c8b8db75ad	769	793	1000	708	14	24	47	23	4	0	2	3	1	4
007b1d8f-d79d-401c-aea1-ca75af826781	558	652	1000	521	10	94	27	14	3	0	2	2	0	3
007dc87c-b931-4979-aa5b-a59b3cc756f3	225	261	1000	205	8	36	12	4	3	0	0	2	0	3
007dd3ed-8b42-4826-9cb9-f107b2c8a04e	473	505	1000	453	4	32	16	5	3	0	0	0	0	1
007e84ba-324a-4de1-8cd3-07284e41c058	468	572	1000	454	7	104	7	2	5	0	0	0	0	2
00802123-43a9-49fd-9b38-c886708a912c	270	345	320	263	0	75	7	1	0	0	0	0	0	0
0082cfe2-0b7e-446a-b9eb-018c6d903112	255	267	1000	242	4	12	9	2	2	0	0	2	0	0
0082e24f-3d13-4b53-acc7-1f0adb52c1a2	417	448	1000	392	8	31	17	2	2	0	1	2	1	2
00843046-c0b2-4c8a-8ef4-e2ff7cbf1c58	281	364	1000	270	4	83	7	2	2	0	1	0	0	1
0084eb19-404f-400f-8dbb-cd694b6ccad8	411	479	1000	389	11	68	11	5	4	0	1	2	0	4
0085be29-89f4-4045-a441-c765798f21a3	549	641	1000	519	16	92	14	2	5	0	0	3	1	7
0086cae9-4b59-4516-b1b4-6f7cbde3da8d	322	409	1000	307	1	87	14	7	1	0	0	0	0	0
008757ff-01c2-4e65-b1de-61587ae8d762	382	394	1000	358	9	12	15	4	1	1	1	4	0	2
0089a226-f236-41ca-ac13-9d0d049cba15	334	350	1000	316	3	16	15	2	1	0	0	0	0	2
008bb48a-3bd3-4c48-8078-1c64897f4944	345	362	1000	313	9	17	23	6	3	0	0	1	0	5
008dc62e-6500-4bef-a2c4-529279ce9c8c	334	349	120	320	4	15	10	2	2	0	0	1	0	1
00912fda-120d-40de-89ab-860d8fd6d80f	249	262	1000	232	6	13	11	4	3	0	1	0	2	0
009138dd-9708-4a65-b2fd-8b5d9913bdd0	233	249	1000	220	6	16	7	0	3	1	0	1	0	1
009149ae-fb30-4805-b974-a06686200876	370	395	1000	350	6	25	14	3	3	0	1	1	0	1
0092601c-91dd-46dc-ac7b-b5dc6f1d2cd6	769	809	1000	718	18	40	33	9	7	0	1	2	1	7
00929e53-a66d-4795-ac82-c09273a0923a	673	718	1000	656	3	45	14	4	1	0	1	0	0	1
0093bdc8-ef30-4072-868e-14b95ae446fd	426	445	1000	406	11	19	9	3	3	0	1	2	0	5
00976af5-6316-44d8-8f08-9cfa53c83c8b	357	447	1000	337	2	90	18	9	0	0	0	1	0	1
00977052-07c4-449e-9107-888ba2a898d3	235	252	1000	227	3	17	5	2	0	0	2	0	0	1
0098cf5d-33a2-4660-ab56-dd2f178b0e03	219	230	1000	205	7	11	7	1	3	0	2	2	0	0
009a035c-0f7b-48ab-9850-e27f641eb762	325	341	1000	306	6	16	13	0	1	1	0	1	1	2
009ac7f3-ed6b-44a0-a28b-66142c617fe1	215	229	600	203	4	14	8	3	1	0	0	1	0	2
009b1220-ed72-4539-8bb3-73139e064fa3	285	297	1000	279	1	12	5	1	0	0	0	0	1	0
009b305d-0224-4ec8-bcfa-e571a7a68a12	349	366	180	337	7	17	5	0	2	0	0	2	0	3
009b6399-4500-443d-b7a3-dddecb4a31a5	664	690	1000	607	12	26	45	8	6	0	0	3	0	3
009e992b-6cc3-41d8-b70b-7ff0c1a9cda1	217	298	1000	201	6	81	10	4	4	1	0	0	0	1
009fecf5-600a-4826-a44e-c65276ea4c15	216	236	1000	200	7	20	9	1	2	0	2	2	0	1
009ff40b-8058-46ff-9234-156fecc46e66	508	528	1000	479	12	20	17	2	3	1	1	1	1	5
00a01321-95dc-4cc2-bb26-2f4a71f84fc1	334	423	1000	323	6	89	5	2	0	1	0	0	2	3
00a06575-ea10-44d1-a6cb-0a5314044a17	453	469	1000	431	6	16	16	6	3	1	1	1	0	0
00a1a3d3-a010-449b-bdfe-5bd1ba6a96a7	233	333	1000	216	7	100	10	1	3	0	0	3	0	1
00a4e8bc-642c-4126-b638-fe8a604df88d	140	240	1000	136	0	100	4	0	0	0	0	0	0	0
00a5c5c4-86a3-43a2-97ef-235853bcf71c	330	363	1000	301	10	33	19	5	2	0	1	1	0	6
00a84c62-284e-44c8-8091-6eb16bc452cd	350	619	1000	313	14	269	23	5	4	0	3	3	0	4
00a852d6-86ef-4a64-afa9-86dcdcce2455	483	573	1000	468	3	90	12	1	2	0	1	0	0	0
00a8bc4a-8f28-46c0-832c-784a8d2841be	415	437	1000	382	11	22	22	7	6	0	3	1	0	1
00a964d8-f681-41d1-a9c8-14ce4afd65e9	356	391	1000	320	12	35	24	8	2	0	0	5	1	4
00a9b116-a7b8-443b-bb7c-69a289473f7d	428	447	1000	413	7	19	8	1	2	0	2	0	2	1
00aa1576-a767-4abf-b36b-3353fb33a4d4	134	228	1000	128	1	94	5	2	1	0	0	0	0	0
00aa44cc-47a3-4ee4-996c-249e9f5fa636	254	319	1000	241	4	65	9	1	1	0	1	0	1	1
00aae6eb-9f84-4b9f-8ddf-12f53b7e140e	759	899	1000	710	17	140	32	9	9	0	1	2	0	5
00abb05c-ada6-467c-a2e5-186dc2936fe1	153	400	1000	144	1	247	8	3	1	0	0	0	0	0
