read	gt_length	aln_length	n_alignments	n_mat	n_sub	n_ins	n_del	n_hdel	n_ctsub	n_cgsub	n_casub	n_gasub	n_gtsub	n_atsub
00482384-9eaa-41c3-848d-99b5cde0f675	266	281	1000	179	28	15	59	27	11	1	5	3	4	4
00483137-1705-41b6-9ca0-0a27e31cd928	426	450	1000	311	45	24	70	13	19	2	6	8	4	6
00485d27-f50c-4f7f-8947-c8f80ac56a7b	907	933	1000	646	73	26	188	29	28	2	3	18	6	16
004b1c3f-ba24-4c00-99ec-fff313e0298c	604	616	1000	566	9	12	29	12	4	0	0	1	2	2
004c77d4-e593-4374-8474-05d23f18e59c	287	297	1000	266	6	10	15	2	3	0	0	1	2	0
004c7d6a-9f39-48fa-a37b-60744e42a8c9	503	527	1000	434	21	24	48	12	6	1	2	4	0	8
004d30a2-853d-4921-a014-6b55dd105967	285	294	1000	220	21	9	44	9	9	1	1	5	2	3
004f162e-8a49-4cbf-a77e-fc27c3f04e23	450	469	1000	300	43	19	107	19	14	0	5	9	8	7
004f5328-7bc2-449f-997a-90585c510977	324	347	1000	247	16	23	61	18	9	1	0	3	1	2
004f5e25-e9a7-445b-ad36-4e4c6a249c30	367	388	1000	274	30	21	63	6	12	0	4	5	3	6
0052cdda-7161-474b-b12c-df02da578f2a	60	63	36	44	4	3	12	0	2	0	1	0	1	0
00541581-f0ab-4756-9681-4723fb81e481	282	302	1000	154	34	20	94	31	13	3	9	2	4	3
00578a06-27fe-4593-a890-516dff28c8bf	205	226	1000	173	12	21	20	5	5	0	2	1	2	2
005b5033-52fb-46cf-8fd7-24a3d9c8598d	418	436	1000	377	10	18	31	5	6	1	1	1	0	1
005b5848-debb-4861-a0c5-4404149cf188	260	276	1000	194	18	16	48	21	7	1	3	3	1	3
005c45ab-b1c1-4f52-88f3-4c921fec29e8	343	370	1000	261	41	27	41	4	13	2	4	12	3	7
005c8ecb-eb9c-49c9-b6a6-f1c5d32d690e	546	573	1000	402	49	27	95	13	14	7	6	12	4	6
005cd421-0690-4e3c-893f-5e3a70d4785e	564	593	1000	413	46	29	105	21	13	5	3	9	4	12
005ce1d8-2527-48bd-806c-9051ddd62965	451	466	1000	370	24	15	57	12	7	0	3	7	3	4
006145e3-27b5-4f82-aeb3-1ddd3dcf6432	382	402	1000	333	16	20	33	7	5	0	3	4	0	4
0061c34b-806c-4795-92e4-a0deacfe8e1f	533	545	1000	331	42	12	160	43	17	4	4	11	1	5
0062ed5d-c217-4ecc-b1c3-4e83273185d9	239	254	1000	213	4	15	22	7	2	0	1	1	0	0
006419b9-af13-4526-b65c-c79d6a84abd3	551	576	1000	406	46	25	99	25	15	2	4	11	3	11
