	run	n_reads	b_ed	m_ed	change_ed	n_better	p_better	n_same	p_same	n_worse	p_worse
0	decode-21	1358	0.2385686527750651	0.25476189280706507	6.787664617139709	122	8.98379970544919	65	4.786450662739323	1171	86.22974963181149
1	decode-23	1358	0.2385686527750651	0.23990201857059568	0.5589023453084405	469	34.5360824742268	218	16.05301914580265	671	49.41089837997055
2	decode-25	1358	0.2385686527750651	0.23859230287504365	0.009913330902222805	324	23.85861561119293	692	50.95729013254786	342	25.184094256259204
3	decode-27	1358	0.2385686527750651	0.23856959626174076	0.0003954780582865594	225	16.568483063328422	896	65.97938144329896	237	17.452135493372605
4	decode-29	1358	0.2385686527750651	0.23863976281254148	0.02980694934109489	78	5.743740795287187	1182	87.03976435935199	98	7.216494845360824
5	decode-31	1358	0.2385686527750651	0.23856190439932845	-0.0028286934004694373	12	0.8836524300441826	1336	98.37997054491899	10	0.7363770250368188
6	decode-33	1358	0.2385686527750651	0.2385984045355508	0.0124709429087383	8	0.5891016200294551	1334	98.23269513991163	16	1.1782032400589102
7	decode-35	1358	0.2385686527750651	0.2385686527750651	0.0	0	0.0	1358	100.0	0	0.0
8	decode-37	1358	0.2385686527750651	0.2385686527750651	0.0	0	0.0	1358	100.0	0	0.0
9	decode-39	1358	0.2385686527750651	0.26896010561269146	12.739080547300993	140	10.309278350515463	59	4.344624447717231	1159	85.34609720176731
10	decode-41	1358	0.2385686527750651	0.23955023746913648	0.41144747335974613	482	35.49337260677467	256	18.851251840942563	620	45.65537555228277
11	decode-43	1358	0.2385686527750651	0.23861370700931062	0.0188852280974265	310	22.827687776141385	725	53.38733431516937	323	23.784977908689246
12	decode-45	1358	0.2385686527750651	0.23854034787244865	-0.011864468482001341	67	4.9337260677466865	1223	90.05891016200295	68	5.007363770250368
13	decode-47	1358	0.2385686527750651	0.238584724929318	0.006736909508423774	16	1.1782032400589102	1319	97.12812960235641	23	1.6936671575846833
14	decode-49	1358	0.2385686527750651	0.23856980742800116	0.00048399189190970546	2	0.14727540500736377	1352	99.55817378497791	4	0.29455081001472755
15	decode-51	1358	0.2385686527750651	0.23854854517193486	-0.008428434706880844	11	0.8100147275405009	1340	98.67452135493373	7	0.5154639175257731
16	decode-53	1358	0.2385686527750651	0.23857039912919645	0.0007320132427484481	4	0.29455081001472755	1350	99.41089837997055	4	0.29455081001472755
17	decode-55	1358	0.2385686527750651	0.23856660158558032	-0.0008597900272749138	1	0.07363770250368189	1357	99.92636229749633	0	0.0
